rule,title,first,last,type
회사|회식,사이다,사랑을 이 술잔에 가득담아 다 함께 원샷,,1
나는|술,통통통,"의사소통, 운수대통, 만사형통",,1
전문|회사,주전자,"주인답게 살고, 전문성을 갖추고, 자신감을 가지고 살자",,1
기본,고사리,고맙습니다. 사랑합니다. 이해합니다.,,1
힘|내,,지금 바로,실행하자,2
힘,,한번 더 ,이겨내자,2
주도,,변화와 혁신을,우리가 주도하자,2
인생,,"행복과 사랑이 가득한 인생을 살기를 바라며, 더욱 밝은 내일을 위해 축배를 드립니다.",,1
응원,누나 언니,누가 나의 편,언자네 니(네)편,2
버티,무조건,무지 힘들어도,조금만 참고 건승하자,2
미래,비행기,비전을 갖고 행동으로 옮기면,기적을 낳는다,2
미래|응원,그래도,"그래. 내일은,",도약할거야,2
청춘,청바지,청춘은,바로 지금부터,2
기본,재건축,재밌게 건강하게,축복하며 살자,2
위로,상한가,상심하지 말고,한탄하지 말고 가슴을 펴자,2
재미,이멤버! 리멤버!,이멤버를,리멤버하자!,2
미래,미사일,미래를 위해 사랑을 위해 일을 위해,발사!,2
목표|달성,마무리,마음먹은 것은,무엇이든 이루자,2
회식|추천,변사또,변함없는 사랑으로,내일 또 만납시다.,2
수고,박보검,박수를 보냅니다,겁나게 수고한 당신,2
만취,지퍼백,지치지 않고 퍼지지 않고 백(back)하지않는 여러분이 되시길,,1
오늘|만취,에스엠,"에, 여러분 스러지질지라도 엠블란스에 실려갈 때까지 마시자",,1
골프,원샷,원하는 방향과 샷 거리만큼,,1
연초,올보기,올해도 보람이 있고 기분 좋게 지냅시다,,1
연초,올버디,올해도 버팀목이 되고 디딤돌이 되자,,1
연초,올파파,올해도 파이팅하고 파이팅합시다,,1
연초,의자왕,의욕과 자신감을 가지고 왕창 돈 벌자,,1
연말,변사또,변함없는 사람으로 또 만납시다,,1
연말,무화과,무척이나 화려했던 과거를 위하여,,1
연말,너나 잘해,너와 나의 잘 나가는 새해를 위하여,,1
처음,반고흐,반갑습니다 고맙습니다 흐뭇합니다,,1
추천,아이유,아름다운 이 세상 유감없이 달리자,,1
재미,나훈아,나는 오늘 훈남훈녀들에게 외칩니다. 아름다운 밤이야,,1
재미|친구,기숙사,기분 좋게 숙취 없게 사이좋게,,1
직장|회식,소나무,"소중한, 나눔의, 무한한 행복을 위하여",,1
즐,이영애,이 순간을 영원히,"애헤라디야, 즐기자",2
월요일,워너원,워~얼요일에는 너희들과 함께 원 없이 마신다,,1
올해|응원,올파,올해도,파이팅,2
집|몇,이글,이미 집에 가기는,글러부렸어,2
욕,나이스,나가 시방 일어난다 이제 니들 죽었어,스마일,2
골프,싱글벙글,골프는 싱글 사랑은 벙글,골프는 굿샷 술잔은 원샷,2
오붓,아이오유,아름다운 이 사람들과 오붓하고 유별나게,,1
고딩,오징어,오래도록 징그럽게 어울리자!,,1
소방,119,1가지 술로 1차까지만 하고 9시 전에 들어가자!,,1
미래,모바일,모든것이 바라는 대로 일어나라,,1
분위기|띄,,올해는 스튜핏! 올~해(미래)는 그레잇,,1
회식,,위하여!,,1
늙,명품백,명퇴조심 품위유지 백수방지,,1
공무원,무한도전,무조건 도와주고 한없이 도와주고 도와달라고 하기 전에 도와주고 전화 걸기 전에 도와주자,,1
추천|건,뚝배기,뚝심있게 배짱있게 기운차게!,,1
팀|회식,위 하 여,"위하면 술잔을 위로, 하하면 술잔을 아래로, 여하면 입에 술을 여어(넣어)주시면 됩니다.",,1
회|회식,복어,복받으세요 어서,,1
아름|회식,아귀,아름답고 귀한 만남,,1
리더,가오리,가슴에 오래 남는 리더가 되자,,1
횟집|회식,해삼,해낸다! 삼박하게!,,1
내일,진달래,진하고 달콤한 내(래)일을 위하여,,1
또|만,이기자,이런 기회를 자주 만들자,,1
신,새신발,새롭게 신나게 발랄하게,,1
취|마,마취제,마시고 취하고 제일 잘 놀자,,1
혼성,,레이디 앤 젤틀맨,원샷,2
팀,,우리는,하나,2
쏜다,,오늘은,내가 쏜다,2
사랑,사이다,사랑합니다. 이 생명 다 바쳐서!,,1
멋,,당당하게 살자. 신나게 살자. 멋지게 살자. 져주며 살자,,1
우리,풀풀풀,남자는 파월풀! 여자는 뷰티풀! 우리는 원더풀!,,1
업무,끈끈끈,"업무는 매끈하게, 술은 화끈하게, 우정은 끈끈하게",,1
멋|밤,여우야,여기서 우리의 멋진 야밤을 위하여!,,1
신,맨붕,맨날 붕붕 뜨며 신나게 보냅시다!,,1
집,"9988, 234",99세까지 88하게 살다가 이삼일 후에 가자!,,1
힘든,마취제,마시고 취하는 게 제일이다!,,1
집|안,무취불귀,취하지 않으면 집에 갈 수 없다.,,1